close_time	open	high	low	close	volume	quote_asset_volume	num_trades	taker_buy_base_asset_volume	taker_buy_quote_asset_volume	ignore	open_timestamp	close_timestamp
2023-06-25 08:29:59.999	30729.11	30729.13	30729.11	30729.12	0.02659	817.0873348	11	0.02264	695.7072768	0	1687680000000	1687681799999
2023-06-25 07:59:59.999	30744.0	30750.14	30694.59	30729.1	0.82505	25340.0056213	231	0.45509	13980.6155861	0	1687678200000	1687679999999
2023-06-25 07:29:59.999	30871.34	30875.78	30689.99	30744.0	1.41436	43528.9612877	571	0.35863	11031.1684011	0	1687676400000	1687678199999
2023-06-25 06:59:59.999	30939.09	30939.1	30808.6	30875.78	1.17179	36158.5025288	312	0.53465	16494.4556534	0	1687674600000	1687676399999
2023-06-25 06:29:59.999	30863.0	30939.09	30785.6	30939.09	3.37765	104190.4299884	658	2.31294	71370.0044363	0	1687672800000	1687674599999
2023-06-25 05:59:59.999	30876.99	30889.99	30837.5	30862.99	0.48103	14848.4148316	101	0.26011	8030.7197264	0	1687671000000	1687672799999
2023-06-25 05:29:59.999	30877.0	30927.6	30821.85	30857.39	3.40604	105172.5178048	291	1.13093	34927.6078392	0	1687669200000	1687670999999
2023-06-25 04:59:59.999	30896.9	30994.44	30844.18	30877.08	20.83064	644792.8283164	1268	12.92173	400049.3159725	0	1687667400000	1687669199999
2023-06-25 04:29:59.999	30779.96	30939.08	30772.44	30877.01	20.47136	631659.2589389	1758	6.67354	205958.8655265	0	1687665600000	1687667399999
2023-06-25 03:59:59.999	30715.49	30780.0	30702.48	30765.0	4.97612	152985.6307649	441	3.2698	100530.2145968	0	1687663800000	1687665599999
2023-06-25 03:29:59.999	30657.72	30715.49	30625.05	30702.2	6.33775	194347.6517666	363	4.73495	145238.790118	0	1687662000000	1687663799999
2023-06-25 02:59:59.999	30614.16	30670.0	30614.16	30655.17	3.00741	92196.7977321	494	1.93694	59392.2112989	0	1687660200000	1687661999999
2023-06-25 02:29:59.999	30589.14	30664.0	30581.98	30637.72	2.4121	73901.8868423	155	1.94983	59753.2649361	0	1687658400000	1687660199999
2023-06-25 01:59:59.999	30608.1	30618.89	30582.62	30610.93	1.05633	32329.4777648	154	0.69716	21340.6981517	0	1687656600000	1687658399999
2023-06-25 01:29:59.999	30534.34	30608.13	30472.01	30590.01	3.77066	115251.7570327	451	1.83999	56242.8181652	0	1687654800000	1687656599999
2023-06-25 00:59:59.999	30477.62	30530.96	30472.0	30530.89	0.71009	21664.8795692	185	0.51161	15610.5742315	0	1687653000000	1687654799999
2023-06-25 00:29:59.999	30540.7	30574.35	30476.4	30479.0	3.47773	106191.7271883	269	2.12444	64868.8884095	0	1687651200000	1687652999999
2023-06-24 23:59:59.999	30551.04	30560.79	30499.03	30527.01	0.36972	11289.801228	136	0.11774	3595.9623222	0	1687649400000	1687651199999
2023-06-24 23:29:59.999	30522.88	30551.04	30506.01	30534.0	0.45258	13816.450436	112	0.2021	6171.8547829	0	1687647600000	1687649399999
2023-06-24 22:59:59.999	30534.48	30534.48	30492.0	30522.89	0.40512	12360.1464281	64	0.14984	4571.4287901	0	1687645800000	1687647599999
2023-06-24 22:29:59.999	30506.0	30534.51	30485.04	30521.04	0.52641	16061.0841298	109	0.23179	7073.641815	0	1687644000000	1687645799999
2023-06-24 21:59:59.999	30514.22	30556.87	30471.03	30518.51	1.35972	41499.2894251	186	0.65055	19864.5284071	0	1687642200000	1687643999999
2023-06-24 21:29:59.999	30520.24	30544.06	30435.14	30488.79	3.83554	116920.8554983	334	1.11502	34000.4597251	0	1687640400000	1687642199999
2023-06-24 20:59:59.999	30597.0	30597.52	30507.95	30512.99	1.28984	39402.4492674	182	0.46686	14262.7036463	0	1687638600000	1687640399999
2023-06-24 20:29:59.999	30639.0	30645.91	30569.0	30590.0	1.32664	40593.1316726	146	0.66514	20356.8057356	0	1687636800000	1687638599999
2023-06-24 19:59:59.999	30663.99	30664.0	30619.0	30625.08	2.80483	85951.3176827	99	0.3491	10695.0260059	0	1687635000000	1687636799999
2023-06-24 19:29:59.999	30650.13	30680.33	30638.99	30646.01	2.21648	67933.6714705	245	0.89054	27301.9854081	0	1687633200000	1687634999999
2023-06-24 18:59:59.999	30646.69	30674.47	30604.31	30649.07	1.7852	54708.1322633	297	0.97321	29831.6464342	0	1687631400000	1687633199999
2023-06-24 18:29:59.999	30562.01	30681.46	30556.92	30672.17	2.67626	81968.6716135	335	0.76362	23394.1042501	0	1687629600000	1687631399999
2023-06-24 17:59:59.999	30561.17	30601.59	30529.9	30562.01	2.54139	77686.2331331	303	0.32797	10022.9814802	0	1687627800000	1687629599999
2023-06-24 17:29:59.999	30491.99	30635.18	30479.24	30576.0	10.22344	312282.9073438	721	7.81178	238591.1465989	0	1687626000000	1687627799999
2023-06-24 16:59:59.999	30476.48	30485.0	30414.37	30467.3	1.05991	32282.27357	160	0.46779	14250.2999006	0	1687624200000	1687625999999
2023-06-24 16:29:59.999	30403.86	30493.07	30290.19	30457.0	3.85412	117157.8447727	559	1.07149	32580.4724636	0	1687622400000	1687624199999
2023-06-24 15:59:59.999	30579.06	30586.5	30355.22	30400.82	7.89727	240372.0931854	922	4.05053	123266.9601135	0	1687620600000	1687622399999
2023-06-24 15:29:59.999	30694.99	30708.99	30534.0	30576.0	2.59903	79547.4726095	377	1.59979	48969.0104876	0	1687618800000	1687620599999
2023-06-24 14:59:59.999	30650.9	30712.46	30650.88	30694.6	3.06854	94137.1656069	306	0.72952	22385.6613963	0	1687617000000	1687618799999
2023-06-24 14:29:59.999	30646.05	30668.8	30614.48	30639.0	1.29443	39667.469976	304	0.72142	22113.5143504	0	1687615200000	1687616999999
2023-06-24 13:59:59.999	30663.03	30714.24	30574.2	30646.03	2.68441	82294.3148635	464	1.65341	50709.6537386	0	1687613400000	1687615199999
2023-06-24 13:29:59.999	30702.0	30726.61	30642.61	30659.99	2.60617	79968.5236512	258	1.44852	44466.6532914	0	1687611600000	1687613399999
2023-06-24 12:59:59.999	30765.1	30786.0	30681.49	30695.0	1.35227	41560.0307498	194	0.57486	17665.223476	0	1687609800000	1687611599999
2023-06-24 12:29:59.999	30681.0	30786.93	30654.23	30780.68	1.36355	41893.3470367	208	0.60497	18587.9890146	0	1687608000000	1687609799999
2023-06-24 11:59:59.999	30667.01	30697.59	30654.41	30667.82	0.29729	9120.645148	84	0.17079	5241.2129537	0	1687606200000	1687607999999
2023-06-24 11:29:59.999	30709.27	30723.0	30661.9	30667.0	1.22516	37599.5651339	117	0.92386	28352.83631	0	1687604400000	1687606199999
2023-06-24 10:59:59.999	30702.47	30736.01	30685.4	30716.03	1.84129	56533.8784424	147	0.79139	24308.6057118	0	1687602600000	1687604399999
2023-06-24 10:29:59.999	30617.99	30701.18	30597.0	30701.18	1.36885	41970.2733087	170	0.64662	19832.5371399	0	1687600800000	1687602599999
2023-06-24 09:59:59.999	30603.93	30625.0	30568.08	30604.15	1.07088	32770.2441819	164	0.13109	4012.3295919	0	1687599000000	1687600799999
2023-06-24 09:29:59.999	30592.05	30611.0	30590.02	30610.99	0.06428	1966.9317823	36	0.03552	1086.9416063	0	1687597200000	1687598999999
2023-06-24 08:59:59.999	30602.01	30604.0	30561.17	30601.59	0.68382	20910.106102	142	0.43517	13307.7962168	0	1687595400000	1687597199999
